@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Zero-crossing rate' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.01953125,2
0.0439453125,3
0.005859375,4
0.025390625,5
0.00390625,6
0.00390625,7
0.009765625,8
0.00390625,9
0.044921875,10
0.001953125,11
0.001953125,12
0.087890625,13
0.009765625,14
0.0,15
0.021484375,16
0.009765625,17
0.009765625,18
0.005859375,19
0.068359375,20
0.083984375,21
0.0859375,22
0.083984375,23
0.0859375,24
0.0859375,25
0.083984375,26
0.0859375,27
0.048828125,28
0.05859375,29
0.046875,30
0.025390625,31
0.017578125,32
0.0546875,33
0.083984375,34
0.05859375,35
0.05078125,36
0.017578125,37
0.0390625,38
0.095703125,39
0.095703125,40
0.095703125,41
0.095703125,42
0.09375,43
0.095703125,44
0.09375,45
0.09375,46
0.076171875,47
0.078125,48
0.087890625,49
0.095703125,50
0.09375,51
0.09375,52
0.09765625,53
0.1015625,54
0.1015625,55
0.099609375,56
0.1015625,57
0.099609375,58
0.1015625,59
0.1015625,60
0.099609375,61
0.09375,62
0.08203125,63
0.080078125,64
0.080078125,65
0.080078125,66
0.080078125,67
0.080078125,68
0.091796875,69
0.091796875,70
0.080078125,71
0.08203125,72
0.078125,73
0.0859375,74
0.0859375,75
0.083984375,76
0.0859375,77
0.083984375,78
0.0859375,79
0.083984375,80
0.0859375,81
0.0859375,82
0.083984375,83
0.083984375,84
0.08203125,85
0.068359375,86
0.06640625,87
0.06640625,88
0.068359375,89
0.076171875,90
0.080078125,91
0.072265625,92
0.06640625,93
0.060546875,94
0.068359375,95
0.068359375,96
0.06640625,97
0.07421875,98
0.0625,99
0.064453125,100
0.0625,101
0.064453125,102
0.064453125,103
0.064453125,104
0.0625,105
0.064453125,106
0.064453125,107
0.0625,108
0.064453125,109
0.0625,110
0.0625,111
0.064453125,112
0.0625,113
0.064453125,114
0.048828125,115
0.060546875,116
0.041015625,117
0.04296875,118
0.041015625,119
0.041015625,120
0.03125,121
0.03125,122
0.033203125,123
0.03125,124
0.044921875,125
0.041015625,126
0.064453125,127
0.064453125,128
0.0625,129
0.064453125,130
0.064453125,131
0.048828125,132
0.0390625,133
0.0546875,134
0.044921875,135
0.033203125,136
0.033203125,137
0.033203125,138
0.03125,139
0.029296875,140
0.02734375,141
0.03515625,142
0.03515625,143
0.03515625,144
0.0390625,145
0.037109375,146
0.03515625,147
0.0390625,148
0.046875,149
0.056640625,150
0.064453125,151
0.064453125,152
0.0625,153
0.0625,154
0.06640625,155
0.0625,156
0.064453125,157
0.064453125,158
0.0625,159
0.060546875,160
0.05859375,161
0.041015625,162
0.05078125,163
0.046875,164
0.052734375,165
0.05078125,166
0.05078125,167
0.048828125,168
0.056640625,169
0.052734375,170
0.044921875,171
0.046875,172
0.046875,173
0.05078125,174
0.0546875,175
0.064453125,176
0.064453125,177
0.0625,178
0.064453125,179
0.0625,180
0.064453125,181
0.064453125,182
0.0625,183
0.064453125,184
0.064453125,185
0.0625,186
0.064453125,187
0.064453125,188
0.064453125,189
0.060546875,190
0.05859375,191
0.064453125,192
0.0390625,193
0.03125,194
0.037109375,195
0.02734375,196
0.03125,197
0.037109375,198
0.033203125,199
0.02734375,200
0.0234375,201
0.0234375,202
0.02734375,203
0.033203125,204
0.068359375,205
0.06640625,206
0.056640625,207
0.048828125,208
0.03125,209
0.029296875,210
0.041015625,211
0.041015625,212
0.033203125,213
0.033203125,214
0.037109375,215
0.03515625,216
0.041015625,217
0.0390625,218
0.060546875,219
0.0625,220
0.0625,221
0.064453125,222
0.0625,223
0.0625,224
0.064453125,225
0.0625,226
0.064453125,227
0.064453125,228
0.060546875,229
0.05859375,230
0.060546875,231
0.064453125,232
