@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2.8727794,397
2.8720026,398
2.8694196,399
2.8469303,400
2.8761237,401
2.8656836,402
2.845874,403
2.8391438,404
2.771337,405
2.7532177,406
2.821237,407
2.8469472,408
2.834668,409
2.821264,410
2.8160079,411
2.8313184,412
2.8225334,413
2.8347404,414
2.827076,415
2.812526,416
2.8534915,417
2.8195555,418
2.83942,419
2.8393116,420
2.8400846,421
2.8438761,422
2.8436837,423
2.8263912,424
2.8108342,425
2.8571677,426
2.8181317,427
2.8096657,428
2.7888565,429
2.7184923,430
2.7380302,431
2.7829585,432
2.8542867,433
2.8304608,434
2.8145754,435
2.7005417,436
2.7173512,437
2.766142,438
2.7346795,439
2.7618835,440
2.8799672,441
2.879699,442
2.864968,443
2.9034321,444
2.9175277,445
2.9053535,446
2.8259053,447
2.8226566,448
2.869598,449
2.8587527,450
2.8477085,451
2.7727263,452
2.6511476,453
2.5653737,454
2.6029475,455
2.647081,456
2.6696653,457
2.635183,458
2.6285403,459
2.7211897,460
2.7057564,461
2.7505069,462
2.7587905,463
2.7704685,464
2.7980006,465
2.8008978,466
2.7806897,467
2.8094363,468
2.8606586,469
2.8589847,470
2.8417447,471
2.8552992,472
2.8081934,473
2.8137226,474
2.8518023,475
2.807494,476
2.8154268,477
2.878819,478
2.8669908,479
2.8514762,480
2.8348892,481
2.840306,482
2.8368056,483
2.8016768,484
2.8295588,485
2.76858,486
2.835576,487
2.8788538,488
2.8790662,489
2.887651,490
2.8809896,491
2.868853,492
2.8800614,493
2.9125633,494
2.9132013,495
2.9094782,496
2.9100025,497
2.9142196,498
2.8818603,499
2.831883,500
2.8706987,501
2.8670242,502
2.8438737,503
2.8207824,504
2.8364327,505
2.897357,506
2.8963742,507
2.8798156,508
2.9162962,509
2.866727,510
2.8201385,511
2.8061354,512
2.8559053,513
2.793658,514
2.7198627,515
2.8256254,516
2.8261967,517
2.802008,518
2.8710756,519
2.8250916,520
2.819035,521
2.8549838,522
2.789852,523
2.7664065,524
2.8001685,525
2.8580499,526
2.7524443,527
2.9029462,528
2.8666062,529
2.869504,530
2.8928633,531
2.9623518,532
2.8635976,533
2.874402,534
2.9389286,535
2.9132595,536
2.8808906,537
2.8712072,538
2.947642,539
2.9013505,540
2.792835,541
2.8826723,542
2.8985307,543
2.8664622,544
2.9153051,545
2.8917315,546
2.884658,547
2.8965788,548
2.8846645,549
2.93327,550
2.9123704,551
2.8862276,552
2.9140577,553
2.9115362,554
2.8927984,555
2.9172273,556
2.9038255,557
2.9079945,558
2.8862257,559
2.918104,560
2.9160404,561
2.914851,562
2.934342,563
2.9057643,564
2.8978043,565
2.8618374,566
2.8490105,567
2.8512723,568
2.8493147,569
2.8412302,570
2.8264916,571
2.854061,572
2.8687203,573
2.8354473,574
2.9273987,575
2.925125,576
2.9362454,577
2.917702,578
2.9167697,579
2.9155972,580
2.8900738,581
2.8524308,582
2.8576863,583
2.9179697,584
2.9417603,585
2.8981924,586
2.9432225,587
2.9024956,588
2.9322846,589
2.925096,590
2.9072478,591
2.917506,592
2.924711,593
2.952779,594
2.9486766,595
2.965847,596
2.961232,597
2.9572172,598
2.9419,599
2.9401846,600
2.9345474,601
2.9100096,602
2.8758953,603
2.921116,604
2.9025424,605
2.820617,606
2.8581254,607
2.8682387,608
2.820456,609
2.8396518,610
2.8581388,611
2.8550136,612
2.8045945,613
2.9059453,614
2.8831449,615
2.9100337,616
2.9764009,617
2.9843602,618
2.953598,619
2.9734616,620
2.9781103,621
2.985547,622
2.9557104,623
2.9672375,624
2.9563456,625
2.9308734,626
2.9428468,627
2.9272375,628
2.8420603,629
2.8133345,630
2.8600633,631
2.8330607,632
2.8890288,633
2.848779,634
2.8016427,635
2.8955355,636
2.9031308,637
2.844341,638
2.8451786,639
2.843302,640
2.7780335,641
2.8307738,642
2.9105499,643
2.9721556,644
2.9571166,645
2.9401364,646
2.9473996,647
2.9775667,648
2.947542,649
2.9356782,650
2.9667513,651
2.9095478,652
2.9681087,653
2.928591,654
2.908272,655
2.9166803,656
2.9554985,657
2.858573,658
2.9199526,659
2.853042,660
2.8736818,661
2.8407109,662
2.869763,663
2.8535914,664
2.842722,665
2.8559098,666
2.8823135,667
2.8760011,668
2.8935246,669
2.8915505,670
2.9028122,671
2.8600843,672
2.8391495,673
2.885488,674
2.8826222,675
2.7648346,676
2.8207781,677
2.7473333,678
2.7935035,679
2.7831411,680
2.7058804,681
2.7747126,682
2.763501,683
