@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.4023601,394
1.4672285,395
1.4221271,396
1.5539944,397
1.5337149,398
1.2225857,399
1.3855339,400
1.4140011,401
1.4388374,402
1.6475089,403
1.4063346,404
1.4213346,405
1.6677928,406
1.7093335,407
1.7532529,408
1.622509,409
1.0897902,410
1.1196896,411
1.4295659,412
1.467264,413
1.4532288,414
1.0247355,415
1.1511385,416
1.2325394,417
1.5275254,418
1.6524425,419
1.5183462,420
1.080473,421
1.3350602,422
1.4772801,423
1.4496814,424
1.4066079,425
1.3960048,426
1.2088021,427
1.4886125,428
1.5848621,429
1.514393,430
1.3683861,431
0.98662215,432
1.3555238,433
1.4910076,434
1.5382255,435
1.4559095,436
0.9726631,437
1.3077369,438
1.5939953,439
1.5352337,440
1.5645875,441
1.4666318,442
1.4051266,443
1.5747638,444
1.5673412,445
1.5830965,446
1.4210874,447
1.069844,448
1.5819337,449
1.4728116,450
1.5470473,451
1.5540794,452
0.9711364,453
1.3069539,454
1.3065264,455
1.5105238,456
1.4775305,457
1.2565963,458
1.1179271,459
1.5750309,460
1.559905,461
1.6163602,462
1.465903,463
1.1114775,464
1.2167767,465
1.4745996,466
1.5322025,467
1.457982,468
1.2431114,469
1.1246079,470
1.4766804,471
1.5897485,472
1.5914274,473
1.48376,474
1.14199,475
1.4358138,476
1.538217,477
1.5763996,478
1.5127065,479
0.97530687,480
1.392812,481
1.4584883,482
1.6099132,483
1.6328772,484
1.4882478,485
1.1828796,486
1.5522941,487
1.5413013,488
1.4905012,489
1.4704957,490
1.2129713,491
1.3756922,492
1.3807136,493
1.5534666,494
1.6581823,495
1.1928861,496
1.0916399,497
1.2898027,498
1.4559928,499
1.4786944,500
1.2386482,501
1.2889771,502
1.6814187,503
1.6139084,504
1.5808616,505
1.617298,506
1.0264258,507
1.2442496,508
1.3547143,509
1.342861,510
1.4953614,511
1.0153924,512
1.2578142,513
1.418648,514
1.4646628,515
1.5283031,516
1.3446693,517
1.1100763,518
1.5335783,519
1.396938,520
1.5413913,521
1.4889102,522
1.2190849,523
1.4294037,524
1.5090464,525
1.586417,526
1.618007,527
1.4715691,528
1.2958368,529
1.617964,530
1.6900615,531
1.633454,532
1.5347377,533
1.1207458,534
1.5765996,535
1.4177495,536
1.5442696,537
1.5545621,538
1.0930496,539
1.3069646,540
1.3362697,541
1.4671605,542
1.4921706,543
1.2904811,544
1.2501624,545
1.5411949,546
1.5531459,547
1.6039922,548
1.4096893,549
1.2420241,550
1.4663373,551
1.3728055,552
1.495396,553
1.364861,554
1.1526269,555
1.434334,556
1.3637754,557
1.4918845,558
1.6027313,559
1.2195865,560
1.2822032,561
1.4425722,562
1.5338924,563
1.5671921,564
1.5012295,565
1.1860536,566
1.5828588,567
1.4384472,568
1.5413345,569
1.5661032,570
1.3597089,571
1.3322066,572
1.3239859,573
1.3480128,574
1.5111716,575
1.4200629,576
0.9750846,577
1.6501536,578
1.6048716,579
1.616457,580
1.55457,581
1.3098905,582
1.3302917,583
1.347664,584
1.494499,585
1.5420767,586
1.3730502,587
1.1644243,588
1.4726764,589
1.5253137,590
1.3550968,591
1.5123105,592
1.0734415,593
1.6267678,594
1.6868402,595
1.5851046,596
1.5148536,597
1.2052565,598
1.4084597,599
1.3101723,600
1.5603528,601
1.5979868,602
1.4929471,603
1.0512592,604
1.4582459,605
1.606625,606
1.6123059,607
1.4817195,608
1.2725382,609
1.3429453,610
1.4740417,611
1.5311108,612
1.5869627,613
1.4167994,614
1.0740081,615
1.5910274,616
1.634988,617
1.6098979,618
1.4804276,619
1.145959,620
1.4525558,621
1.4685744,622
1.6315935,623
1.6229576,624
1.1672342,625
1.0355307,626
1.3958346,627
1.4526875,628
1.4350902,629
1.4467998,630
1.0499322,631
1.4967926,632
1.5647652,633
1.5917302,634
1.6175733,635
1.4055154,636
1.2452062,637
1.336047,638
1.4798632,639
1.5297828,640
1.4401304,641
0.9954551,642
1.4610877,643
1.4694902,644
1.5950042,645
1.546802,646
1.0180653,647
1.4298338,648
1.4922972,649
1.5762395,650
1.5394361,651
1.4495058,652
1.4275162,653
1.4914477,654
1.5355732,655
1.5610036,656
1.401606,657
1.2894514,658
1.3288332,659
1.377835,660
1.3588419,661
1.3960406,662
1.1159981,663
1.4799924,664
1.6150477,665
1.7200272,666
1.6757778,667
1.3389889,668
1.2239957,669
1.4319798,670
1.4617226,671
1.4167343,672
1.396194,673
1.0838683,674
1.4829375,675
1.4849899,676
1.5949911,677
1.57754,678
1.223502,679
1.2158669,680
1.5787311,681
1.5511296,682
1.6178297,683
1.4722717,684
1.2693504,685
1.5503446,686
1.5572981,687
1.6343982,688
1.5805306,689
1.0409423,690
1.2212448,691
1.4929626,692
1.4860505,693
1.5441049,694
1.127927,695
1.2375441,696
1.4755374,697
1.5598035,698
1.5572648,699
1.5933226,700
1.053829,701
1.5023482,702
1.6312891,703
1.622639,704
1.5548301,705
1.3692677,706
1.3999692,707
1.2507411,708
1.5406904,709
1.625293,710
1.3559643,711
0.9458993,712
1.3723129,713
1.329122,714
1.4680125,715
1.499059,716
1.5686603,717
1.4810543,718
1.3796976,719
1.6397811,720
1.617584,721
1.311627,722
1.1044834,723
1.3159056,724
1.3766484,725
1.4323881,726
1.5230632,727
1.1024007,728
1.4489563,729
1.4836726,730
1.5531303,731
1.5888051,732
1.1480433,733
1.2966096,734
1.41052,735
1.5416614,736
1.4496223,737
1.2946713,738
1.0588315,739
1.3678023,740
1.4761897,741
1.5575601,742
1.4938709,743
1.3330333,744
1.6021184,745
1.4775865,746
1.5621716,747
1.4439497,748
1.3972677,749
1.2496376,750
1.4739492,751
1.541672,752
1.5845764,753
1.1141485,754
1.1875261,755
1.4474976,756
1.3706207,757
1.5040485,758
1.3926427,759
1.2162302,760
1.4881184,761
1.6135243,762
1.5233363,763
1.4824122,764
1.2714279,765
1.38795,766
1.4691143,767
1.4648284,768
1.4728436,769
1.4523613,770
1.0436065,771
1.4911062,772
1.4772102,773
1.4200053,774
1.5589325,775
1.5534915,776
1.602403,777
1.6067832,778
1.4563665,779
1.5554278,780
1.5013444,781
1.6346672,782
1.5876621,783
1.6065156,784
1.3994743,785
1.3398432,786
1.3749107,787
1.4839503,788
1.383659,789
1.4707216,790
1.3525254,791
1.4292706,792
1.4427109,793
1.4938107,794
1.4124327,795
1.3878317,796
1.4225166,797
1.5584817,798
1.5405608,799
1.573117,800
1.5690657,801
1.5320723,802
1.5667102,803
1.5461831,804
1.6035584,805
1.5765289,806
1.6231289,807
1.6464641,808
1.7341253,809
1.6643999,810
1.716015,811
1.6493083,812
1.4811462,813
1.616721,814
1.5357758,815
1.5800207,816
1.6634033,817
1.5983324,818
1.6139435,819
1.4974521,820
1.5808166,821
1.5926815,822
1.6560621,823
1.4335321,824
1.5020361,825
1.659708,826
1.5940343,827
1.7525309,828
1.4940257,829
1.3340858,830
1.6466308,831
1.4404883,832
1.4188002,833
1.4324477,834
1.0705265,835
1.3835094,836
1.4606051,837
1.5508429,838
1.4747121,839
1.438397,840
1.1510241,841
1.455203,842
1.3608756,843
1.4340589,844
0.9479396,845
1.027616,846
1.2190094,847
1.1078869,848
1.102521,849
1.167739,850
0.96953607,851
1.5733356,852
1.4520428,853
1.518444,854
1.3423434,855
1.1904436,856
1.592174,857
1.4764625,858
1.4779392,859
1.474196,860
1.249312,861
1.1129148,862
1.3932357,863
1.3470622,864
1.409027,865
1.2513309,866
1.1603377,867
1.6357543,868
1.5337963,869
1.5080832,870
1.4937611,871
1.1198266,872
1.3393205,873
1.4092177,874
1.3394107,875
1.4456432,876
1.1548061,877
1.1568596,878
1.2839819,879
1.403811,880
1.4004321,881
1.4189388,882
1.1961792,883
1.2886522,884
1.4072479,885
1.4899983,886
1.5361241,887
1.3864423,888
1.6513253,889
1.5186125,890
1.4234694,891
1.4254451,892
1.282493,893
1.361031,894
1.4608598,895
1.3873051,896
1.3757612,897
1.3909084,898
1.1191622,899
1.4638499,900
1.5170223,901
1.3595587,902
1.4011534,903
1.3515049,904
1.0962138,905
1.0860204,906
1.0811372,907
1.0712243,908
1.1006458,909
1.3374386,910
1.4426528,911
1.4815966,912
1.4314473,913
1.3836372,914
1.1365137,915
1.5585871,916
1.6040456,917
1.5956292,918
1.4802772,919
1.3422065,920
1.2169135,921
1.5011537,922
1.512741,923
1.5442417,924
1.1730186,925
0.9384923,926
1.403137,927
1.4460696,928
1.4206327,929
1.2764199,930
1.2000978,931
1.4128065,932
1.2300687,933
1.4565678,934
1.40165,935
1.2948225,936
1.4126673,937
1.5063837,938
1.4816164,939
1.4851787,940
1.4426756,941
1.2747291,942
1.5423546,943
1.4510432,944
1.2655327,945
1.3329891,946
1.1840817,947
1.4911565,948
1.2718024,949
1.173553,950
1.2348595,951
1.1275554,952
1.3602743,953
1.542851,954
1.5221533,955
1.541757,956
1.4043758,957
1.1377659,958
1.4333222,959
1.262725,960
1.3516653,961
1.4762723,962
1.2854348,963
1.1490963,964
1.482492,965
1.4598062,966
1.5714244,967
1.4367456,968
0.99101716,969
1.323918,970
1.3580824,971
1.4160225,972
1.4580506,973
1.44799,974
1.0694183,975
1.4626149,976
1.3969214,977
1.6089184,978
1.4144171,979
1.1696451,980
1.418742,981
1.3454794,982
1.4234163,983
1.5189517,984
1.1567898,985
1.3518301,986
1.36701,987
1.2572062,988
1.4353538,989
1.2454795,990
1.2053266,991
1.4756361,992
1.4623713,993
1.3769404,994
1.4249889,995
1.143166,996
1.4880054,997
1.4614464,998
1.0663655,999
1.2408546,1000
1.256186,1001
1.3841729,1002
1.5484979,1003
1.5009351,1004
1.4426122,1005
1.3209226,1006
1.172114,1007
1.4563652,1008
1.3504851,1009
1.3338156,1010
1.3443584,1011
1.0892847,1012
1.2369343,1013
1.2218587,1014
1.2202047,1015
1.0696491,1016
1.0066239,1017
1.0856721,1018
1.4268306,1019
1.3807412,1020
1.396772,1021
1.3142987,1022
1.0503491,1023
1.2854881,1024
1.3951675,1025
1.3976686,1026
1.5120652,1027
1.1652422,1028
1.4077668,1029
1.3531306,1030
1.3995324,1031
1.4716197,1032
1.3177906,1033
1.2674756,1034
1.2347233,1035
1.0401157,1036
1.0107769,1037
1.0864156,1038
1.1026794,1039
1.400961,1040
1.4996164,1041
1.4484252,1042
1.438965,1043
1.1825346,1044
1.1763419,1045
1.4975841,1046
1.4952105,1047
1.3229061,1048
1.3486795,1049
1.1697117,1050
1.4584848,1051
1.5011721,1052
1.4111725,1053
1.4946871,1054
1.3024592,1055
1.4866374,1056
1.3216909,1057
1.4236054,1058
1.5052916,1059
1.352339,1060
1.336482,1061
1.3706105,1062
1.435227,1063
1.393942,1064
1.1919609,1065
0.89682955,1066
1.342676,1067
1.3902177,1068
1.3710746,1069
1.318041,1070
1.1280392,1071
1.2789892,1072
1.5055646,1073
1.442552,1074
1.3266246,1075
1.2391946,1076
1.1093938,1077
1.3912132,1078
1.4849691,1079
1.564182,1080
1.3999175,1081
1.3034123,1082
1.5463727,1083
1.4552575,1084
1.4657992,1085
1.1683993,1086
1.1882558,1087
1.4302685,1088
1.3387531,1089
1.35173,1090
1.3926734,1091
1.013549,1092
1.4309984,1093
1.4672556,1094
1.4442606,1095
1.4826373,1096
1.3302643,1097
1.32281,1098
1.3668094,1099
1.420535,1100
1.4276451,1101
1.380467,1102
1.2143692,1103
1.5073913,1104
1.529655,1105
1.4981842,1106
1.5922548,1107
1.2197012,1108
1.1713175,1109
1.4889617,1110
1.4367812,1111
1.4610269,1112
1.3206174,1113
1.0557189,1114
1.5395784,1115
1.476793,1116
1.6162065,1117
1.4601798,1118
1.1039534,1119
1.3800496,1120
1.3732336,1121
1.462188,1122
1.4751484,1123
1.2692089,1124
1.3352405,1125
1.466829,1126
1.5593132,1127
1.4469371,1128
1.1355851,1129
1.4310064,1130
1.3582611,1131
1.4318928,1132
1.4429265,1133
1.2047682,1134
1.2962965,1135
1.4059333,1136
1.484026,1137
1.5176029,1138
1.3939394,1139
1.1824422,1140
1.4723756,1141
1.429005,1142
1.4818834,1143
1.4348294,1144
1.1541116,1145
1.388199,1146
1.428269,1147
1.571281,1148
1.5352025,1149
1.3352106,1150
1.1530191,1151
1.4786648,1152
1.6008775,1153
1.5024589,1154
1.5056832,1155
1.1552345,1156
1.3483908,1157
1.4689857,1158
1.5447614,1159
1.5464822,1160
1.2982504,1161
1.2754498,1162
1.435129,1163
1.5394447,1164
1.4210624,1165
1.4439274,1166
1.2928852,1167
1.3573825,1168
1.5177878,1169
1.5090911,1170
1.4224645,1171
1.4443111,1172
1.2440587,1173
1.4492053,1174
1.4597691,1175
1.4026216,1176
1.3823265,1177
1.2542185,1178
1.3447881,1179
1.3385556,1180
1.4386429,1181
1.4739413,1182
1.2790831,1183
1.2158767,1184
1.3643658,1185
1.4504168,1186
1.361268,1187
1.2520776,1188
