@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
3274.1733,403
2900.596,404
2891.4539,405
3468.1338,406
3363.3196,407
3257.6404,408
3046.4907,409
2944.5806,410
3062.5312,411
3503.1995,412
3796.848,413
3667.9553,414
2737.3918,415
2654.1877,416
2627.9346,417
2732.1655,418
3033.5083,419
4023.4717,420
2944.6765,421
3829.9482,422
3097.6902,423
3678.4421,424
3583.5295,425
3402.2808,426
2554.4136,427
2821.551,428
2985.5217,429
3464.045,430
4237.738,431
2850.1558,432
3861.6145,433
3565.11,434
3934.7231,435
4213.701,436
2730.3132,437
3259.5515,438
3519.8567,439
3089.1458,440
3847.3784,441
3218.5588,442
3224.6155,443
3407.0813,444
3633.1345,445
3747.506,446
4038.523,447
2103.257,448
3487.5933,449
3782.3337,450
3815.317,451
3756.7478,452
2410.8254,453
3509.7234,454
2749.1829,455
3697.112,456
3658.1917,457
2957.5798,458
2953.0122,459
3085.694,460
3484.2446,461
3473.2627,462
4224.958,463
2788.5105,464
3518.988,465
2993.2307,466
3226.5042,467
3721.7146,468
3003.5989,469
2452.5923,470
2886.1292,471
3385.733,472
3524.7156,473
3982.8174,474
3328.1138,475
3860.8042,476
3194.0752,477
3928.3284,478
4044.709,479
2378.24,480
3231.4304,481
2643.6084,482
4001.6228,483
3712.0012,484
4596.6567,485
2703.6465,486
3398.714,487
3097.948,488
3678.8972,489
4187.659,490
2578.7642,491
3357.3699,492
2381.4512,493
3372.4082,494
3389.1409,495
3143.731,496
3515.2354,497
3150.6165,498
3359.0376,499
4177.8477,500
3711.8657,501
2870.7532,502
3282.3452,503
3414.7568,504
3773.4248,505
3738.2554,506
2821.5354,507
2843.046,508
3040.5552,509
3633.1902,510
3178.1035,511
2742.8745,512
2684.1475,513
2699.2869,514
3124.811,515
3355.8032,516
4377.6895,517
3329.9685,518
3837.5999,519
3505.5818,520
3717.2314,521
3636.6033,522
2984.1025,523
2944.3938,524
2871.8398,525
3179.6975,526
3047.5232,527
4104.4272,528
2664.8484,529
3755.095,530
3451.9556,531
3335.5774,532
4695.181,533
2242.2095,534
2723.701,535
2420.307,536
2834.4812,537
3888.518,538
2691.477,539
3741.5,540
3342.2947,541
3464.586,542
3597.4526,543
2696.373,544
3177.4338,545
3101.8447,546
3668.3965,547
3522.4175,548
4037.4983,549
2670.0386,550
3328.0813,551
3126.7742,552
3289.1562,553
4494.2334,554
2573.4536,555
3211.2566,556
2665.9412,557
3379.4836,558
3225.922,559
3016.5503,560
3163.6274,561
3539.5222,562
3603.9924,563
3582.1116,564
4348.8193,565
2779.3525,566
3024.1116,567
2512.1914,568
2557.9026,569
2844.5894,570
3118.2415,571
2705.7896,572
2799.3577,573
3277.0361,574
2846.2424,575
3925.596,576
2441.6182,577
3376.33,578
3192.6936,579
3532.5315,580
3604.7695,581
2608.2969,582
3275.67,583
3167.5671,584
3709.0566,585
3513.3062,586
3034.8325,587
2341.6616,588
2828.0364,589
2942.6985,590
2845.8684,591
4173.5312,592
2390.1418,593
3380.819,594
3494.4565,595
3453.3948,596
3500.895,597
2327.8933,598
2573.6438,599
2381.4714,600
2391.466,601
3165.0781,602
4329.919,603
2654.365,604
3908.3179,605
3661.1965,606
3638.7612,607
3986.966,608
2752.4575,609
2983.646,610
2725.7979,611
3228.162,612
3488.436,613
4319.516,614
2661.7754,615
3763.9067,616
3106.2827,617
3861.071,618
4011.0154,619
2671.3042,620
3143.7476,621
2434.955,622
2872.3206,623
2856.5889,624
3903.2007,625
3323.4734,626
3875.2695,627
3302.838,628
3673.2744,629
4595.9517,630
2451.4604,631
3702.382,632
2953.9204,633
3662.4407,634
3243.539,635
3165.5774,636
2629.1594,637
3219.3547,638
3564.003,639
3615.2954,640
3507.224,641
2381.5515,642
2760.8928,643
2903.66,644
2768.7227,645
3874.1367,646
2764.2822,647
3562.2625,648
3480.4666,649
3676.269,650
3508.4448,651
3474.3306,652
3089.884,653
3078.985,654
2876.7922,655
2921.5918,656
4351.4053,657
3120.4338,658
3226.4387,659
2958.5405,660
3489.5173,661
4050.6204,662
2426.331,663
2917.6982,664
3264.821,665
3214.5535,666
3371.2566,667
3813.1362,668
3124.0042,669
3925.4211,670
3819.555,671
4357.763,672
4162.5225,673
3022.2554,674
2938.3186,675
2690.8567,676
2652.8914,677
2865.8213,678
3438.8938,679
2768.6367,680
3345.4138,681
3516.4265,682
3601.2603,683
4228.215,684
2307.6418,685
3114.5574,686
2621.0083,687
2825.6782,688
3072.2227,689
2598.291,690
3034.4775,691
3270.0295,692
3550.3794,693
3510.3245,694
3273.652,695
2449.8677,696
2825.2039,697
2997.0032,698
3362.3982,699
3812.4907,700
2658.2522,701
2893.3047,702
3165.5762,703
3092.1726,704
2984.2263,705
2884.8062,706
2542.7495,707
1882.2158,708
