@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.3055641,387
0.2773662,388
0.34025785,389
0.310949,390
0.36320156,391
0.47353598,392
0.19734006,393
0.24384637,394
0.23132794,395
0.19859187,396
0.21796653,397
0.36491522,398
0.20100342,399
0.19054314,400
0.1733666,401
0.20262317,402
0.22574152,403
0.29863656,404
0.20782477,405
0.2577356,406
0.26646924,407
0.2584928,408
0.3174026,409
0.2828348,410
0.24965882,411
0.33526185,412
0.35555622,413
0.3256882,414
0.2834725,415
0.19555527,416
0.17532824,417
0.21964957,418
0.23807305,419
0.347364,420
0.20698388,421
0.2621032,422
0.25833672,423
0.27408546,424
0.34519237,425
0.30032438,426
0.14427109,427
0.17547528,428
0.19589481,429
0.24875954,430
0.3740891,431
0.2226379,432
0.36340043,433
0.33286718,434
0.3570795,435
0.4059666,436
0.18867987,437
0.21888731,438
0.23310074,439
0.23117977,440
0.24890186,441
0.35838547,442
0.25025278,443
0.2981732,444
0.2939041,445
0.28552267,446
0.36551303,447
0.14450458,448
0.17865162,449
0.1799609,450
0.21602161,451
0.38052234,452
0.2261159,453
0.30293703,454
0.24432516,455
0.31949365,456
0.40693364,457
0.24923226,458
0.22222449,459
0.29149932,460
0.30625495,461
0.27349934,462
0.3704675,463
0.18040448,464
0.20841843,465
0.1977676,466
0.24157795,467
0.3504635,468
0.27938718,469
0.14590564,470
0.16449872,471
0.19165342,472
0.21231899,473
0.366924,474
0.2703137,475
0.36023402,476
0.31613272,477
0.33037457,478
0.40788192,479
0.16085656,480
0.22063239,481
0.19363222,482
0.26451334,483
0.29541132,484
0.38066313,485
0.20430455,486
0.2860939,487
0.25823057,488
0.2971816,489
0.40831813,490
0.18237962,491
0.18555902,492
0.1733969,493
0.23158076,494
0.24787916,495
0.37228608,496
0.29878327,497
0.29826412,498
0.3084276,499
0.31518936,500
0.3184724,501
0.21600522,502
0.31714803,503
0.28899807,504
0.28419077,505
0.27890867,506
0.26080036,507
0.20868213,508
0.22734645,509
0.23795502,510
0.2594311,511
0.26163948,512
0.16302009,513
0.168571,514
0.21480575,515
0.24911505,516
0.372431,517
0.31039077,518
0.40410936,519
0.36780062,520
0.3723429,521
0.4475017,522
0.23653497,523
0.20792001,524
0.21664412,525
0.22761518,526
0.2061223,527
0.38629672,528
0.2143484,529
0.26964968,530
0.26404268,531
0.2598622,532
0.3343875,533
0.16092727,534
0.19092809,535
0.14439368,536
0.16710344,537
0.35786223,538
0.2754911,539
0.34819794,540
0.31397638,541
0.33277526,542
0.39006507,543
0.273456,544
0.25400037,545
0.28497577,546
0.3083738,547
0.29351196,548
0.34716,549
0.1917975,550
0.23222038,551
0.18537828,552
0.18742763,553
0.33002055,554
0.1669607,555
0.15825747,556
0.1420661,557
0.16180497,558
0.19946562,559
0.32718185,560
0.2896926,561
0.34889144,562
0.3582689,563
0.3506609,564
0.44128534,565
0.22818677,566
0.23076834,567
0.20783642,568
0.17933075,569
0.20540708,570
0.3271038,571
0.19544627,572
0.20424145,573
0.20730948,574
0.20687628,575
0.3326997,576
0.16600166,577
0.25415498,578
0.25525436,579
0.28122005,580
0.34287468,581
0.29603335,582
0.37334907,583
0.31503385,584
0.32108432,585
0.31884456,586
0.3500246,587
0.19120373,588
0.21167937,589
0.21483707,590
0.20589559,591
0.32895598,592
0.15947706,593
0.28613123,594
0.26875752,595
0.27996367,596
0.3370975,597
0.19683836,598
0.19489981,599
0.1483682,600
0.16492145,601
0.22220843,602
0.41122547,603
0.24128811,604
0.3910082,605
0.36956736,606
0.36797807,607
0.4085669,608
0.25558278,609
0.21586207,610
0.19791502,611
0.18931726,612
0.23889504,613
0.3636208,614
0.17924908,615
0.2823031,616
0.27994388,617
0.29658937,618
0.36110273,619
0.1992448,620
0.2016526,621
0.16891131,622
0.17340209,623
0.22259328,624
0.34931546,625
0.27958223,626
0.35511696,627
0.32009336,628
0.32961994,629
0.40780297,630
0.19827224,631
0.31196207,632
0.28608882,633
0.2754378,634
0.261319,635
0.3463785,636
