@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Zero-crossing rate' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
0.048828125,5
0.150390625,6
0.154296875,7
0.162109375,8
0.125,9
0.142578125,10
0.2099609375,11
0.267578125,12
0.25390625,13
0.0546875,14
0.13671875,15
0.2109375,16
0.232421875,17
0.24609375,18
0.236328125,19
0.208984375,20
0.078125,21
0.150390625,22
0.2578125,23
0.23046875,24
0.1015625,25
0.05078125,26
0.0390625,27
0.060546875,28
0.279296875,29
0.2578125,30
0.2734375,31
0.24609375,32
0.28125,33
0.2421875,34
0.162109375,35
0.0703125,36
0.056640625,37
0.06640625,38
0.109375,39
0.11328125,40
0.15625,41
0.041015625,42
0.05078125,43
0.16015625,44
0.291015625,45
0.234375,46
0.19140625,47
0.23828125,48
0.279296875,49
0.232421875,50
0.1328125,51
0.140625,52
0.056640625,53
0.08984375,54
0.18359375,55
0.234375,56
0.0859375,57
0.029296875,58
0.02734375,59
0.08203125,60
0.248046875,61
0.294921875,62
0.28125,63
0.310546875,64
0.271484375,65
0.2421875,66
0.251953125,67
0.1640625,68
0.060546875,69
0.1328125,70
0.1640625,71
0.1484375,72
0.08984375,73
0.01171875,74
0.0234375,75
0.017578125,76
0.06640625,77
0.14453125,78
0.185546875,79
0.16015625,80
0.099609375,81
0.193359375,82
0.1796875,83
0.162109375,84
0.03515625,85
0.02734375,86
0.0859375,87
0.19921875,88
0.294921875,89
0.041015625,90
0.111328125,91
0.05078125,92
0.1015625,93
0.154296875,94
0.17578125,95
0.068359375,96
0.048828125,97
0.177734375,98
0.21875,99
0.173828125,100
0.07421875,101
0.15234375,102
0.14453125,103
0.2421875,104
0.18359375,105
0.16015625,106
0.138671875,107
0.064453125,108
0.119140625,109
0.177734375,110
0.169921875,111
0.12890625,112
0.08203125,113
0.0625,114
0.1484375,115
0.2578125,116
0.298828125,117
0.298828125,118
0.30078125,119
0.29296875,120
0.224609375,121
0.1875,122
0.037109375,123
0.07421875,124
0.1328125,125
0.205078125,126
0.16796875,127
0.0703125,128
0.109375,129
0.140625,130
0.23046875,131
0.2265625,132
0.248046875,133
0.30078125,134
0.2578125,135
0.29296875,136
0.25390625,137
0.107421875,138
0.060546875,139
0.015625,140
0.02734375,141
0.09765625,142
0.21875,143
0.044921875,144
0.03515625,145
0.01953125,146
0.041015625,147
0.189453125,148
0.302734375,149
0.275390625,150
0.275390625,151
0.2734375,152
0.26171875,153
0.22265625,154
0.158203125,155
0.203125,156
0.181640625,157
0.23046875,158
0.185546875,159
0.123046875,160
0.0234375,161
0.01953125,162
0.03515625,163
0.119140625,164
0.2109375,165
0.283203125,166
0.25390625,167
0.23046875,168
0.2578125,169
0.189453125,170
0.1328125,171
0.02734375,172
0.02734375,173
0.09765625,174
0.197265625,175
0.212890625,176
0.224609375,177
0.181640625,178
0.181640625,179
0.251953125,180
0.091796875,181
0.046875,182
0.021484375,183
0.078125,184
0.134765625,185
0.046875,186
0.095703125,187
