@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.02862907,374
0.018964857,375
0.015287094,376
0.012525246,377
0.011689482,378
0.0074930466,379
0.01038653,380
0.04383888,381
0.029277127,382
0.008821821,383
0.0078660585,384
0.011810011,385
0.011825815,386
0.010888125,387
0.0070865904,388
0.04931934,389
0.14390641,390
0.10628217,391
0.079686165,392
0.04750642,393
0.026525693,394
0.01849617,395
0.013442772,396
0.013867529,397
0.011546852,398
0.029264094,399
0.04404171,400
0.01693214,401
0.007336348,402
0.006272507,403
8.179656E-4,404
6.460271E-4,405
3.6699168E-4,406
4.4532647E-4,407
0.12749858,408
0.07811989,409
0.04805572,410
0.027407728,411
0.017535951,412
0.015106129,413
0.012522572,414
0.012252769,415
0.0070718783,416
0.011779637,417
0.044835266,418
0.027411176,419
0.010224672,420
0.006351606,421
0.013483179,422
0.010409357,423
0.011578454,424
0.006529785,425
0.074880965,426
0.13390459,427
0.10549015,428
0.07586067,429
0.043792885,430
0.025357377,431
0.01911435,432
0.012025887,433
0.014019047,434
0.011342444,435
0.03447173,436
0.03892038,437
0.012633756,438
0.007276303,439
0.0057237986,440
8.137857E-4,441
5.9627224E-4,442
3.5631683E-4,443
4.5271468E-4,444
0.13735123,445
0.07751673,446
0.050204672,447
0.026294792,448
0.015950818,449
0.01617902,450
0.011755563,451
0.01169321,452
0.0076742163,453
0.015351964,454
0.04525256,455
0.022815488,456
0.009830059,457
0.0067835078,458
0.013076963,459
0.011050756,460
0.010796787,461
0.006942316,462
0.08778437,463
0.1267022,464
0.106572345,465
0.07175459,466
0.0417618,467
0.02445859,468
0.01781813,469
0.012708919,470
0.01349852,471
0.010868426,472
0.03662913,473
0.040179376,474
0.012400872,475
0.008514398,476
0.00433134,477
8.150395E-4,478
5.5231276E-4,479
3.54923E-4,480
0.0010610048,481
0.13934223,482
0.07730475,483
0.043909073,484
0.025233718,485
0.01635115,486
0.016319698,487
0.011330553,488
0.010943982,489
0.00753857,490
0.016192814,491
0.046384763,492
0.020372288,493
0.009707278,494
0.0066844346,495
0.013590047,496
0.011402626,497
0.010106302,498
0.0071709347,499
0.100712605,500
0.12427905,501
0.10290583,502
0.070734605,503
