@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2.4741004,396
2.7923367,397
2.9447768,398
1.8253032,399
1.1391927,400
2.0508962,401
2.884683,402
2.8693604,403
2.2590678,404
2.3476858,405
1.7115958,406
1.8099873,407
1.4810349,408
1.2570325,409
1.3383145,410
1.697679,411
2.4339426,412
2.9789786,413
2.9924834,414
3.0558372,415
3.0266237,416
2.5727894,417
1.2620509,418
1.4199085,419
2.9349766,420
2.8747056,421
2.8598273,422
2.9712574,423
2.9984472,424
2.9496193,425
2.5026634,426
1.29429,427
1.3103619,428
1.2512456,429
1.3825737,430
1.8445492,431
2.2880282,432
2.4660337,433
2.817099,434
2.907046,435
1.5312207,436
1.1413219,437
2.2730613,438
2.8831873,439
2.806296,440
2.3281105,441
2.3089263,442
1.763439,443
1.8786513,444
1.4841131,445
1.1693497,446
1.3928009,447
1.7796605,448
2.4700599,449
3.0021062,450
2.9886935,451
3.0451734,452
3.0397785,453
2.4693725,454
1.1980547,455
1.6692436,456
2.9430647,457
2.926539,458
2.8720024,459
3.0003884,460
2.9781892,461
2.9643853,462
2.3682323,463
1.2222273,464
1.2717738,465
1.2165952,466
1.4063785,467
1.8652492,468
2.3368478,469
2.4862614,470
2.831418,471
2.8708506,472
1.5054243,473
1.2241446,474
2.3154314,475
2.8852482,476
2.761232,477
2.3260202,478
2.2483552,479
1.7712603,480
1.7417709,481
1.4241261,482
1.2653458,483
1.3706557,484
1.7876385,485
2.6087663,486
3.0139196,487
2.992013,488
3.037891,489
3.0434813,490
2.385613,491
1.1149644,492
1.7962713,493
2.97244,494
2.8715227,495
2.8961246,496
2.9899411,497
2.9943666,498
2.9342113,499
2.2729824,500
1.2285415,501
1.275799,502
1.2264751,503
1.4073179,504
1.9636729,505
2.3761783,506
2.5377016,507
2.821756,508
2.845034,509
1.2536967,510
1.4014497,511
2.305912,512
2.9171793,513
2.7666054,514
2.9818578,515
2.988223,516
2.95159,517
2.9055789,518
1.4598309,519
1.1407923,520
1.4435778,521
1.951002,522
2.6505742,523
2.99726,524
3.0032742,525
3.046324,526
3.011487,527
2.1640577,528
1.2006719,529
1.9762441,530
2.9514468,531
2.8733444,532
2.8967316,533
3.0014396,534
2.9603398,535
2.966598,536
2.147329,537
1.2605022,538
1.3046017,539
1.2863134,540
1.4472611,541
1.9830644,542
2.3282807,543
2.6336153,544
2.853479,545
2.8039477,546
1.2809731,547
1.2948599,548
2.4127414,549
2.9017675,550
2.691897,551
2.2938538,552
2.031614,553
1.8362503,554
1.7700237,555
1.4087306,556
1.1741552,557
1.4030371,558
1.9950029,559
2.6983664,560
3.0001945,561
3.0078332,562
3.05549,563
3.0032277,564
2.075495,565
1.0630094,566
2.138644,567
2.942745,568
2.8983426,569
2.9344244,570
3.01123,571
2.9571135,572
2.9687393,573
1.8231702,574
1.2482271,575
1.2984818,576
1.214265,577
1.5245514,578
2.0288968,579
2.3288364,580
2.67911,581
2.8212183,582
2.6227782,583
1.2477614,584
1.3849579,585
2.6615458,586
2.8942413,587
2.6874976,588
2.2783039,589
2.0117388,590
1.8348966,591
1.6701956,592
1.3227286,593
1.2052464,594
1.3810778,595
2.1429784,596
2.7439048,597
3.0112903,598
3.0008676,599
3.0556064,600
3.026391,601
1.9127419,602
1.0931544,603
2.3048148,604
2.9583023,605
2.8249297,606
2.9554217,607
2.990979,608
2.9631488,609
2.9419894,610
1.8367141,611
1.2548434,612
1.2041603,613
1.2479551,614
1.5527867,615
2.035699,616
2.3427746,617
2.687447,618
2.8417041,619
2.5320568,620
1.273718,621
1.309778,622
2.6020246,623
2.8798184,624
2.6260438,625
2.3003693,626
2.0706332,627
1.8396133,628
1.7155426,629
1.2868744,630
1.2782489,631
1.4443165,632
2.1328554,633
2.8200963,634
3.0055935,635
2.9967504,636
3.0404794,637
3.0201538,638
1.6691496,639
1.1722153,640
2.3925173,641
2.9339256,642
2.8409991,643
2.975621,644
3.0103536,645
2.9534125,646
2.9204345,647
1.6521153,648
1.2849921,649
1.206146,650
1.244616,651
1.592069,652
2.156308,653
2.4137146,654
2.706437,655
2.846153,656
2.3514132,657
1.18625,658
1.5563757,659
2.7584171,660
2.8833609,661
2.8683498,662
2.985799,663
2.9879553,664
2.9646742,665
2.4516864,666
1.2514876,667
1.3111539,668
1.4268947,669
2.1586347,670
2.8135304,671
2.9982793,672
3.0268054,673
3.041107,674
2.8355083,675
1.2182213,676
0.98823893,677
1.1374347,678
1.3682896,679
1.7068594,680
2.3799725,681
2.8589284,682
2.9762287,683
2.8370786,684
1.4698873,685
1.2887942,686
1.1864836,687
1.3340077,688
1.6493028,689
2.1147897,690
2.3097482,691
2.4599788,692
2.8317626,693
1.945755,694
1.0885662,695
1.0558332,696
1.2618626,697
1.4933046,698
1.336629,699
1.4111018,700
1.9056386,701
1.8125502,702
1.6436455,703
1.235064,704
1.3251251,705
1.4402434,706
2.1643105,707
2.8553054,708
2.9793754,709
3.040989,710
3.0538752,711
2.7191305,712
1.2499837,713
1.0166668,714
1.104123,715
1.3287057,716
1.7808543,717
2.3613536,718
2.881818,719
3.0044847,720
2.910347,721
1.4374393,722
1.2931794,723
1.2632133,724
1.3170531,725
1.6901747,726
2.1408207,727
2.4042144,728
2.4506822,729
2.8391404,730
1.7172421,731
1.1314713,732
1.0844144,733
1.3135501,734
1.4883974,735
1.3228323,736
1.5117728,737
1.908857,738
1.8227787,739
1.5839492,740
1.2311494,741
1.301577,742
1.5556806,743
2.1444623,744
2.9373775,745
2.9693456,746
3.0431201,747
3.0633988,748
2.495993,749
1.1758697,750
0.9703121,751
1.1515366,752
1.4089649,753
1.7903757,754
2.4682708,755
2.928758,756
2.9732387,757
2.7162113,758
1.4277488,759
1.223399,760
1.2319356,761
1.3738977,762
1.678963,763
2.1170971,764
2.4699883,765
2.471914,766
2.7773676,767
1.623383,768
1.0382158,769
1.0868524,770
1.2696921,771
1.4485819,772
1.3887928,773
1.590097,774
1.8497137,775
1.7781869,776
1.4850904,777
1.2203169,778
1.384164,779
1.570138,780
2.2173862,781
2.9364395,782
2.984975,783
3.0384743,784
3.0261254,785
2.4968684,786
1.1843604,787
1.0229307,788
1.1284877,789
1.5289071,790
1.8175304,791
2.431248,792
2.9859304,793
2.9784718,794
2.6780322,795
1.3283116,796
1.2686355,797
1.2110778,798
1.2786014,799
1.7593349,800
2.1966636,801
2.4432123,802
2.628439,803
2.8067396,804
1.5282413,805
1.0604264,806
1.0920243,807
1.308052,808
1.6091733,809
2.2289193,810
2.610068,811
2.9651477,812
2.8769372,813
1.9420722,814
1.2272354,815
1.3890749,816
1.6370633,817
2.327058,818
2.9117944,819
3.0045867,820
3.0483828,821
3.0291295,822
2.297647,823
1.0806186,824
1.0190827,825
1.1733758,826
1.5423595,827
1.9063663,828
2.461059,829
2.967099,830
2.991862,831
2.6309988,832
1.3233397,833
1.3178042,834
1.206623,835
1.3170502,836
1.910093,837
2.2018588,838
2.3724897,839
2.6068842,840
2.7892492,841
1.2993642,842
1.0043738,843
1.0747269,844
1.3076881,845
1.4716302,846
1.3918918,847
1.6482444,848
1.8393375,849
1.7927945,850
1.4556614,851
1.2424508,852
1.3652784,853
1.6940453,854
2.3694515,855
2.9598768,856
2.9933243,857
3.0644038,858
3.0319493,859
2.1494133,860
1.1366922,861
1.0251472,862
1.3160205,863
1.4693897,864
1.9378815,865
2.5308406,866
2.9796762,867
2.975867,868
2.3246286,869
1.2810181,870
1.281926,871
1.1940846,872
1.3852416,873
1.8836709,874
2.2746253,875
2.454622,876
2.5909085,877
2.7344906,878
1.1929787,879
1.0885714,880
1.129198,881
1.3642317,882
1.500436,883
1.34559,884
1.7092997,885
1.881553,886
1.6484057,887
1.4745305,888
1.2200799,889
1.313703,890
1.8360558,891
2.4098585,892
2.963189,893
2.9824574,894
3.043001,895
3.0428145,896
2.0055964,897
1.0343786,898
1.063031,899
1.277611,900
1.4845161,901
2.0383341,902
2.5399811,903
2.9929266,904
2.9525912,905
2.4088364,906
1.1997014,907
1.2789152,908
1.1625347,909
1.423911,910
1.964424,911
2.1043818,912
2.5699673,913
2.7060356,914
2.6131957,915
1.2145747,916
0.9969247,917
1.1186023,918
1.3477992,919
1.538769,920
1.2739776,921
1.7300354,922
1.7863823,923
1.7040819,924
1.4420274,925
1.2753699,926
1.3171936,927
1.9344159,928
2.4940596,929
2.9450476,930
2.9981732,931
3.038834,932
3.0348828,933
1.7238716,934
1.0592418,935
1.0761756,936
1.2788687,937
1.473361,938
2.154841,939
2.5628307,940
2.984278,941
2.9743145,942
2.1724014,943
1.2482079,944
1.265965,945
1.1978655,946
1.4371809,947
2.0040789,948
2.1311328,949
2.3943172,950
2.8756764,951
2.4472268,952
1.1950886,953
1.0263922,954
1.1119186,955
1.3522532,956
1.7666974,957
2.409052,958
2.8809102,959
2.9634762,960
2.7466605,961
1.4088526,962
1.314947,963
1.2431865,964
2.0492811,965
2.501511,966
2.9376554,967
3.025576,968
3.045915,969
2.9816961,970
1.6749492,971
0.9946953,972
1.1573435,973
1.3215684,974
1.5151223,975
2.2183251,976
2.6291656,977
2.9595869,978
2.9722738,979
1.9066005,980
1.225357,981
1.2610269,982
1.2853599,983
1.4895797,984
1.9571276,985
2.2246578,986
2.3922892,987
2.8396513,988
2.4194846,989
1.1774241,990
0.97205335,991
