@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Root mean square' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
1.657309265E-5,2
1.711307377E-5,3
0.001246948041,4
0.004392130058,5
0.007351946252,6
0.009118958513,7
0.01233396259,8
0.01366803389,9
0.01831203817,10
0.02223344363,11
0.0260817245,12
0.02867390166,13
0.02863842497,14
0.03227747703,15
0.03413551038,16
0.0419748394,17
0.04719031064,18
0.05083046324,19
0.05476343406,20
0.05943298897,21
0.06053506319,22
0.06923898178,23
0.06805402686,24
0.07320245119,25
0.07689809843,26
0.09102273406,27
0.1014268596,28
0.1135569123,29
0.2546314961,30
0.2737591082,31
0.3268918519,32
0.2905989933,33
0.2942345157,34
0.2351085704,35
0.2110322888,36
0.2090388942,37
0.2416715592,38
0.3086007112,39
0.3497006591,40
0.3454754446,41
0.3349626473,42
0.2535478485,43
0.1872555835,44
0.1304919126,45
0.1696422565,46
0.1917228916,47
0.1499862674,48
0.119869732,49
0.1465594781,50
0.1545069367,51
0.1455672239,52
0.2878141332,53
0.2676226626,54
0.3289955269,55
0.2430357956,56
0.2709672721,57
0.1995130887,58
0.119994657,59
0.08213123997,60
0.1249177178,61
0.1393220783,62
0.1155264105,63
0.1218665685,64
0.1279812522,65
0.1346004773,66
0.281189539,67
0.2959501022,68
0.3201791824,69
0.2428397786,70
0.261415724,71
0.179033369,72
0.1718028973,73
0.1015897441,74
0.150414089,75
0.4860364021,76
0.4837900791,77
0.5046773825,78
0.5864778812,79
0.5171791389,80
0.6148709595,81
0.5547975483,82
0.5216644779,83
0.4045605272,84
0.3872854762,85
0.4432362956,86
0.3116173838,87
0.3365764062,88
0.3139117308,89
0.3705669439,90
0.3494032526,91
0.3486833947,92
0.2844792874,93
0.3123444015,94
0.3895124527,95
0.6055279922,96
0.2816379366,97
0.5521668965,98
0.5222039807,99
0.4335276032,100
0.4601699028,101
0.5114573982,102
0.4658043583,103
0.4465422886,104
0.3517455425,105
0.2608082734,106
0.2923683386,107
0.1647902735,108
0.07184465569,109
0.07219780695,110
0.07364799265,111
0.07278539462,112
0.5080638124,113
0.5094571687,114
0.4623763936,115
0.6214972563,116
0.5439227409,117
0.6160743101,118
0.5340170101,119
0.5022610308,120
0.3673859913,121
0.4190132396,122
0.3349050718,123
0.291395274,124
0.2960552173,125
0.2742203266,126
0.3562611975,127
0.3305930973,128
0.271096044,129
0.2713642282,130
0.3257390984,131
0.3647528956,132
0.626812814,133
0.3316374403,134
0.5804084469,135
0.5043446703,136
0.4049182485,137
0.5298978393,138
0.4940033567,139
0.4499424406,140
0.4289586713,141
0.3220437909,142
0.2221235487,143
0.3006502127,144
0.149975418,145
0.03696062676,146
0.02761533036,147
0.03719488175,148
0.1026257103,149
0.4939235875,150
0.530196811,151
0.451400462,152
0.6110333194,153
0.5788977688,154
0.6110000758,155
0.5349581171,156
0.4609820553,157
0.3471824446,158
0.4049080253,159
0.3301571374,160
0.2872340275,161
0.2633381219,162
0.2649466172,163
0.3384340361,164
0.363831396,165
0.2522914969,166
0.2550138803,167
0.340734132,168
0.3943412988,169
0.6035677593,170
0.3618719889,171
0.5652238636,172
0.5056674586,173
0.357768014,174
0.5359790921,175
0.5396515937,176
0.4244210733,177
0.4542158298,178
0.2439732816,179
0.2560786743,180
0.2590503837,181
0.1350772242,182
0.02463778879,183
0.01227648779,184
0.005815864576,185
0.1826731633,186
0.4657275887,187
0.5471802316,188
0.4487833322,189
0.650404479,190
0.5415226984,191
0.6155988843,192
0.5428263369,193
0.4748986168,194
0.2982151502,195
0.4102351468,196
0.3174260915,197
0.2922076572,198
0.2495810714,199
0.2547428821,200
0.3489546744,201
0.3549532567,202
0.2628112048,203
0.2414850778,204
0.3572158485,205
0.3996916764,206
0.5807776959,207
0.3574738508,208
0.6143138714,209
0.4768308135,210
0.3221473736,211
0.5380187169,212
0.5423168973,213
0.4333350271,214
0.4325139289,215
0.23286837,216
0.2627393361,217
0.2556785543,218
0.3098110611,219
0.3322066261,220
0.2759119728,221
0.2855921609,222
0.3144669814,223
0.4504481757,224
0.550939006,225
0.457501244,226
0.653218867,227
0.5499742381,228
0.6047525544,229
0.5219637897,230
0.4837742582,231
0.2896302486,232
0.4024404592,233
0.33850016,234
0.2636737417,235
0.28256472,236
0.2210856204,237
0.3954834202,238
0.3019435704,239
0.2863802751,240
0.2108922085,241
0.3741052621,242
0.4470873129,243
0.5373476643,244
0.392989563,245
0.6050560456,246
0.4611481563,247
0.3943454936,248
0.5121957961,249
0.5285192765,250
0.4321699656,251
0.4291543295,252
0.2238659746,253
0.2813404132,254
0.2387488638,255
0.1202453743,256
0.02282007582,257
0.01201977346,258
0.005940492357,259
0.2567919212,260
0.4501015576,261
0.5453186637,262
0.5232398086,263
0.604212672,264
0.6066293315,265
0.5760252439,266
0.5191781431,267
0.4524279158,268
0.3029339298,269
0.403455187,270
0.34167363,271
0.2424724457,272
0.2889476439,273
0.2344398762,274
0.3859067006,275
0.2974829698,276
0.2895282431,277
0.2069227961,278
0.3967183334,279
0.482516502,280
0.4967204633,281
0.4580764634,282
0.5591330865,283
0.4662266622,284
0.4076661884,285
0.5249424603,286
0.529114344,287
0.4106626262,288
0.4133364269,289
0.2284949649,290
0.279765311,291
0.2414305327,292
0.08588221861,293
0.02370461452,294
0.008161854588,295
0.005741462666,296
0.06605047658,297
0.398360179,298
0.3235516732,299
0.3007600615,300
0.2205466122,301
0.1112239483,302
0.009160619407,303
0.01186184846,304
0.01005069422,305
0.04184473864,306
0.3239281957,307
0.3809859723,308
0.2805994421,309
0.27001569,310
0.1912915137,311
0.4104066228,312
0.2860503448,313
0.2955888267,314
0.1974892794,315
0.09272876742,316
0.008937801706,317
0.009085817827,318
0.006342829161,319
0.0551231473,320
0.3686897717,321
0.3578558135,322
0.2924345573,323
0.2334479528,324
0.3023448951,325
0.3390041785,326
0.3273602688,327
0.2452319987,328
0.2061919576,329
0.04883023162,330
0.008086455175,331
0.007440477418,332
0.005746219277,333
0.1136769439,334
0.396159945,335
0.3148471263,336
0.3055202571,337
0.2120578753,338
0.1086888858,339
0.009144452575,340
0.01301429517,341
0.008643931554,342
0.04886541935,343
0.3330864132,344
0.3871720481,345
0.2721067634,346
0.2649434312,347
0.2184546675,348
0.3993279937,349
0.2995704548,350
0.2752558305,351
0.2026051693,352
0.06147086586,353
0.009695521484,354
0.008471712955,355
0.006108743396,356
0.07548101728,357
0.3968982498,358
0.3251858235,359
0.3006026791,360
0.2220005373,361
0.3093270264,362
0.3348350202,363
0.3280817215,364
0.2413735696,365
0.2073929447,366
0.3205564222,367
0.3141420765,368
0.3225157034,369
0.2264873938,370
0.3329634615,371
0.4564982483,372
0.5791093383,373
0.5922865337,374
0.5477809959,375
0.615555125,376
0.5415763941,377
0.5416039034,378
0.40537545,379
0.274283716,380
0.4435706769,381
0.2809499351,382
0.2692404356,383
0.2733094553,384
0.3245122588,385
0.3212553773,386
0.3204085523,387
0.2418597491,388
0.2406453476,389
0.4035808805,390
0.5754194741,391
0.3646176791,392
0.5209876929,393
0.5665793762,394
0.3985893114,395
0.4381497564,396
0.548291138,397
0.4857191875,398
0.4582858348,399
0.3130761578,400
0.2738610177,401
0.2347686812,402
0.2413069006,403
0.04352964361,404
0.02071326011,405
0.005743662059,406
0.005930145668,407
0.3645142076,408
0.414524797,409
0.6037769536,410
0.5763981764,411
0.5509022468,412
0.637724566,413
0.5382494164,414
0.5125930547,415
0.3906257197,416
0.3036188549,417
0.4425510102,418
0.2460839167,419
0.2735068665,420
0.270085455,421
0.3284877598,422
0.3163235291,423
0.3247741644,424
0.235852791,425
0.3106683856,426
0.3512350497,427
0.5956211455,428
0.3336256628,429
0.5318303997,430
0.5584611955,431
0.3930541216,432
0.4511291531,433
0.5732071857,434
0.4617378451,435
0.4401609891,436
0.3148714479,437
0.2675063846,438
0.2565406529,439
0.2121231174,440
0.03566631377,441
0.01805520037,442
0.005432503599,443
0.006365260628,444
0.4247935714,445
0.4512873967,446
0.5620645985,447
0.5589241347,448
0.5766382862,449
0.6233978309,450
0.5538925064,451
0.5136446813,452
0.3423726779,453
0.3313910602,454
0.4259579017,455
0.2383670568,456
0.2934940181,457
0.2496094928,458
0.3476992038,459
0.2986547137,460
0.3325959158,461
0.222869795,462
0.3226309216,463
0.3434700408,464
0.6332469175,465
0.3023204425,466
0.5180239,467
0.5611258216,468
0.4013389638,469
0.4309056677,470
0.5819482213,471
0.4770084449,472
0.4154479336,473
0.3377024554,474
0.2270330531,475
0.2772800914,476
0.1853199451,477
0.02821273745,478
0.01787194335,479
0.005765627356,480
0.006306521995,481
0.4758429049,482
0.4254144972,483
0.5379622871,484
0.602328569,485
0.5372005447,486
0.6244613319,487
0.5506794959,488
0.5278381928,489
0.3270419039,490
0.3256526151,491
0.4251018215,492
0.2378669822,493
0.297626333,494
0.2451964597,495
0.3460041799,496
0.3217103527,497
0.3085983825,498
0.2414256181,499
0.3129600466,500
0.3441492055,501
0.6244596112,502
0.3154913225,503
0.5506045587,504
0.5291750978,505
0.4065498027,506
0.4485985559,507
0.5528025456,508
0.4889943487,509
0.4193262514,510
0.3205048039,511
0.2196391816,512
0.2830263549,513
0.2174014988,514
0.3793952562,515
0.317759084,516
0.2442994827,517
0.2451076516,518
0.4947699579,519
0.5112937394,520
0.4623315353,521
0.6273148115,522
0.5186177553,523
0.644803282,524
0.5160950083,525
0.5156585564,526
0.3432577181,527
0.3804259149,528
0.3551191236,529
0.2675599482,530
0.273455625,531
0.2575634719,532
0.3376270912,533
0.3486549778,534
0.2774080923,535
0.2494657106,536
0.3231045299,537
0.338174182,538
0.6366683563,539
0.2835295423,540
0.5871047379,541
0.5040279644,542
0.3933965997,543
0.5177294599,544
0.4974250591,545
0.4779894219,546
0.4204056085,547
0.3277940517,548
0.2160610438,549
0.2878443535,550
0.1544363561,551
0.02834625789,552
0.01385084737,553
0.006245038086,554
0.02751969276,555
0.4850642629,556
0.5180393722,557
0.4649267507,558
0.6160878018,559
0.5753809418,560
0.6335046277,561
0.5142993746,562
0.4810490578,563
0.3493303412,564
0.402428882,565
0.3251844856,566
0.2673229146,567
0.2681077612,568
0.2602192348,569
0.3383170839,570
0.3530210677,571
0.2672123681,572
0.2549479351,573
0.3332737489,574
0.3784658836,575
0.6139518484,576
0.3320754172,577
0.5636926671,578
0.5062523507,579
0.3863046631,580
0.5344648811,581
0.5134064835,582
0.4502691739,583
0.4251714137,584
0.3033998769,585
0.2419859282,586
0.2711598238,587
0.1401870523,588
0.02656551865,589
0.01261292646,590
0.006574208113,591
0.1214082908,592
0.4849666411,593
0.5388593085,594
0.4532241336,595
0.6253618167,596
0.5738885642,597
0.6153233445,598
0.5375571833,599
0.4668724506,600
0.3187615048,601
0.408484146,602
0.3200169821,603
0.2870447151,604
0.2464017363,605
0.262494416,606
0.3386377707,607
0.3633886639,608
0.2551829334,609
0.2535298905,610
0.3425315211,611
0.3865657268,612
0.6013052044,613
0.3600061846,614
0.58325584,615
0.5014758137,616
0.3290187123,617
0.5382463517,618
0.5482285767,619
0.41791813,620
0.4514711861,621
0.233743301,622
0.2564143791,623
0.2619535439,624
0.1310481701,625
0.02463517746,626
0.0123945447,627
0.006512133209,628
0.2041690343,629
0.4577325417,630
0.5479147357,631
0.4492593762,632
0.6603901912,633
0.5324396129,634
0.6150934313,635
0.5394985849,636
0.4806278798,637
0.2919812571,638
0.409289826,639
0.3194000238,640
0.2898023154,641
0.2555675166,642
0.2471485246,643
0.3701060535,644
0.3328042128,645
0.2790002815,646
0.2227783508,647
0.3620282925,648
0.436606906,649
0.5595425407,650
0.3614276772,651
0.6195945155,652
0.4681646644,653
0.3463778802,654
0.5286443082,655
0.5354722984,656
0.4411260623,657
0.4268833468,658
0.2290053359,659
0.2705888285,660
0.2475559482,661
0.311785458,662
0.3306192502,663
0.2805654171,664
0.2843362666,665
0.3193588891,666
0.4775225278,667
0.5650951594,668
0.3327816117,669
0.5925155894,670
0.625249036,671
0.5969465334,672
0.5126823462,673
0.4837236612,674
0.2955882854,675
0.4152907548,676
0.4045521916,677
0.2904244962,678
0.2402059204,679
0.193559048,680
0.3201354044,681
0.293783922,682
0.29002078,683
0.2305739902,684
0.3880574306,685
0.4358551645,686
0.5332505831,687
0.4194896306,688
0.5927927096,689
0.6313286627,690
0.7019780646,691
0.6769000952,692
0.4286459524,693
0.3182529927,694
0.4151005528,695
0.3770786792,696
0.2975919872,697
0.2079017712,698
0.05761631098,699
0.01882318378,700
0.008533693178,701
0.003991417436,702
0.2647209325,703
0.4764116339,704
0.5679671689,705
0.4071369434,706
0.5536804821,707
0.6734622902,708
0.5699128128,709
0.5237856904,710
0.4389850029,711
0.3062991839,712
0.4420568781,713
0.3627409058,714
0.2873556403,715
0.2500613766,716
0.182227526,717
0.3152995588,718
0.3116996418,719
0.2765042082,720
0.2293150484,721
0.4089667388,722
0.4936821308,723
0.4630142353,724
0.4620353367,725
0.5655675784,726
0.653547272,727
0.6745460614,728
0.6940396398,729
0.4009211126,730
0.3131626265,731
0.4331713678,732
0.360451594,733
0.2960834412,734
0.1924420516,735
0.05609493966,736
0.01888160456,737
0.005755772379,738
0.003406228291,739
0.2915183122,740
0.4857955719,741
0.550917877,742
0.4296597506,743
0.55304062,744
0.6680497364,745
0.5733068692,746
0.5479150167,747
0.3988153238,748
0.3060251102,749
0.4473223939,750
0.345934708,751
0.2933972144,752
0.258314261,753
0.1858173173,754
0.3130249477,755
0.3254851311,756
0.2644331108,757
0.2071522145,758
0.421592164,759
0.4961149634,760
0.4493149169,761
0.467607368,762
0.6031613948,763
0.6585083109,764
0.664889057,765
0.6628199743,766
0.4264842181,767
0.2983478882,768
0.4466889692,769
0.355870429,770
0.2571179579,771
0.1903751339,772
0.05355128903,773
0.01898158229,774
0.004528907254,775
0.003284934471,776
0.3068098693,777
0.4971388245,778
0.5352978924,779
0.4791073146,780
0.5103433519,781
0.6770523496,782
0.5603728196,783
0.5554990098,784
0.4051116045,785
0.2875517647,786
0.4456840982,787
0.3459756291,788
0.3079475691,789
0.2440398822,790
0.1860432397,791
0.3376377294,792
0.3055188272,793
0.2610294458,794
0.2222357182,795
0.4170906013,796
0.5540150068,797
0.3827043494,798
0.4970179901,799
0.6111191027,800
0.6451917939,801
0.7001676561,802
0.6057560427,803
0.4300430945,804
0.3300980646,805
0.4189247931,806
0.354926406,807
0.2376449471,808
0.2010758732,809
0.3041796113,810
0.2756234343,811
0.2404785908,812
0.2142367007,813
0.3759678625,814
0.5196703512,815
0.4763776928,816
0.5319176898,817
0.4666801248,818
0.6963498719,819
0.5337582802,820
0.5327880194,821
0.4115831161,822
0.2924138942,823
0.4302097692,824
0.3527496633,825
0.3188803095,826
0.233997062,827
0.1841892826,828
0.3554069901,829
0.2945616842,830
0.2364428073,831
0.2753307277,832
0.3853581547,833
0.5734745147,834
0.3630529945,835
0.5308594009,836
0.5863133509,837
0.6439113106,838
0.7391427309,839
0.6011197034,840
0.3612748605,841
0.3904287005,842
0.4048372823,843
0.3139961206,844
0.2340083197,845
0.1941790008,846
0.03883051558,847
0.01488922712,848
0.004235402818,849
0.003031474898,850
0.3813572548,851
0.5200149585,852
0.4780719958,853
0.5462160171,854
0.5220513549,855
0.6824279091,856
0.5372551391,857
0.5130765521,858
0.3787998628,859
0.2979249681,860
0.4245353362,861
0.3689912402,862
0.3006421918,863
0.2436377612,864
0.2301274952,865
0.3278641527,866
0.2906026706,867
0.226157241,868
0.3186098188,869
0.3473793039,870
0.6130381994,871
0.3063085089,872
0.5292751243,873
0.6382593674,874
0.6390780688,875
0.7045669079,876
0.6224237254,877
0.3132021552,878
0.3907216511,879
0.4078503465,880
0.292489783,881
0.2357246767,882
0.1916719117,883
0.0369392976,884
0.01428434562,885
0.003918716349,886
0.003018294992,887
0.3913007075,888
0.5311718055,889
0.4643962292,890
0.5693984176,891
0.5196985206,892
0.6686643541,893
0.5522984635,894
0.5229143588,895
0.3347009978,896
0.3108493835,897
0.4228120845,898
0.3851841456,899
0.2915929555,900
0.2161580621,901
0.2700480981,902
0.3178589151,903
0.2656666685,904
0.2256810943,905
0.3299360239,906
0.3442740478,907
0.6231571051,908
0.3135469541,909
0.5264398195,910
0.6717776172,911
0.6528280809,912
0.6928949064,913
0.5715411659,914
0.3134974483,915
0.4239245853,916
0.3707877878,917
0.2878574566,918
0.2471840395,919
0.1771312653,920
0.03635051278,921
0.01377668246,922
0.003804795527,923
0.003140266053,924
0.4276579849,925
0.5155555669,926
0.446509628,927
0.6093347459,928
0.48117452,929
0.6805350372,930
0.5329475982,931
0.5327173051,932
0.3374332217,933
0.2938996251,934
0.4384911864,935
0.3636683162,936
0.3003348762,937
0.1933742181,938
0.2864867421,939
0.3118747063,940
0.2560440615,941
0.2269171073,942
0.3337816229,943
0.3585738613,944
0.6269012024,945
0.3005450109,946
0.5724363426,947
0.6352270604,948
0.6768323464,949
0.7220426036,950
0.4972214781,951
0.3248666917,952
0.4303352298,953
0.3425561398,954
0.2919200179,955
0.2560321799,956
0.1723660534,957
0.3115356744,958
0.2682249635,959
0.2393252983,960
0.2233068481,961
0.4858507805,962
0.4678339678,963
0.4324018515,964
0.6061186749,965
0.5352796253,966
0.6750954433,967
0.5067366122,968
0.5080043175,969
0.3546729105,970
0.2905659051,971
0.463722334,972
0.3490408046,973
0.2661107138,974
0.1883654052,975
0.3115529303,976
0.2886751483,977
0.2556734109,978
0.2381920503,979
0.350359069,980
0.3457366767,981
0.6316233534,982
0.2967494969,983
0.5840327624,984
0.6567031116,985
0.6428602805,986
0.7429419141,987
0.4709235203,988
0.3129628634,989
0.4340553996,990
0.340418201,991
0.3056113329,992
0.2497280599,993
0.14249284,994
0.02261900486,995
0.01167977904,996
0.00393260946,997
0.0581819903,998
0.5074253082,999
0.5103924261,1000
0.3728237212,1001
0.6154083947,1002
0.5850975651,1003
0.6423501489,1004
0.5201668159,1005
0.475036348,1006
0.3455821871,1007
0.3297326774,1008
0.4341909206,1009
0.3613924425,1010
0.2397350552,1011
0.1983706234,1012
0.3121818266,1013
0.281809769,1014
0.2574801236,1015
0.2558494611,1016
0.3577938804,1017
0.379886332,1018
0.5983961326,1019
0.3451698865,1020
0.5633932213,1021
0.6914371541,1022
0.6322715648,1023
0.7042981723,1024
0.4803709451,1025
0.3124355054,1026
0.4270922559,1027
0.3434318322,1028
0.3175899588,1029
0.2400293,1030
0.1209576867,1031
0.02342389898,1032
0.00941118113,1033
0.004094604648,1034
0.1306002895,1035
0.5224143683,1036
0.5331922393,1037
0.328482911,1038
0.6166178014,1039
0.5837028194,1040
0.6314123875,1041
0.5396512001,1042
0.4758708078,1043
0.308990245,1044
0.4034160944,1045
0.4028288074,1046
0.3252318569,1047
0.2338167487,1048
0.1986043666,1049
0.3134093465,1050
0.2823547551,1051
0.2706754131,1052
0.2510261617,1053
0.3642161719,1054
0.3802838981,1055
0.5946569887,1056
0.3568548371,1057
0.6062394121,1058
0.6542865422,1059
0.6754099405,1060
0.6649065507,1061
0.4798799071,1062
0.3021252597,1063
0.4177396179,1064
0.3628694996,1065
0.3065260412,1066
0.2449029327,1067
0.07619666052,1068
0.02256709969,1069
0.008722212912,1070
0.004158939907,1071
0.2346357492,1072
